Date,Open,High,Low,Close,Adj Close,Volume,Mkt-RF,SMB,HML,RF,Yest_Close,stock_return,SMA_20,SMA_50,EMA_12,EMA_26,MACD,RSI,ADS_Index,NIO Yest_Close,GM Yest_Close,TM Yest_Close,F Yest_Close,RACE Yest_Close
2020-03-10,43.96200180053711,44.53333282470703,40.53333282470703,43.02199935913086,43.02199935913086,233916000,4.74,-2.49,0.79,0.006,40.53333282470703,0.061398023823663106,51.337999534606936,44.55514468317447,47.60152377573353,47.818111905904544,-0.21658813017101153,42.40621323430186,-8.69786,3.2899999618530273,24.453868865966797,122.79000091552734,5.281979560852051,134.13833618164062
2020-03-11,42.68000030517578,43.571998596191406,40.866668701171875,42.28200149536133,42.28200149536133,199837500,-5.05,-0.84,-0.82,0.006,43.02199935913086,-0.017200452670558565,50.870833015441896,44.50677993449759,46.78313573259935,47.40802965327171,-0.6248939206723634,41.413058677941,-9.59897,3.5,26.860631942749023,126.98999786376953,5.604269504547119,142.52377319335938
2020-03-12,38.72600173950195,39.633331298828125,36.41666793823242,37.369998931884766,37.369998931884766,283636500,-9.63,-0.44,-1.17,0.006,42.28200149536133,-0.11617242301113509,50.18169956207275,44.358096996943154,45.33496084018172,46.66447182205786,-1.3295109818761404,35.47408557894089,-10.5634,3.319999933242798,25.751340866088867,122.79000091552734,5.281979560852051,139.30984497070312
2020-03-13,39.66666793823242,40.50466537475586,33.46666717529297,36.44133377075195,36.44133377075195,339604500,8.96,-2.72,2.99,0.006,37.369998931884766,-0.024850553590475444,49.3237663269043,44.196530400490275,43.96671052180791,45.907202336775946,-1.9404918149680341,34.467683785007125,-11.5915,3.130000114440918,22.819650650024414,112.19999694824219,4.7895917892456055,126.60018157958984
2020-03-16,31.299999237060547,32.9913330078125,29.47800064086914,29.67133331298828,29.67133331298828,307342500,-12.0,-0.26,-0.75,0.006,36.44133377075195,-0.1857780645558401,48.14056625366211,43.906026458740236,41.76742172045105,44.70454537205093,-2.937123651599883,28.189171684000257,-14.9451,3.109999895095825,24.473678588867188,116.2300033569336,5.040261745452881,138.5696563720703
2020-03-17,29.333999633789062,31.456666946411133,26.399999618530273,28.68000030517578,28.68000030517578,359919000,5.88,0.84,-0.68,0.006,29.67133331298828,-0.03341046380880213,46.71323299407959,43.88894645690918,39.75397227194716,43.51754203376389,-3.7635697618167256,27.402047594115587,-15.9994,2.940000057220459,20.79916000366211,108.5,4.485206127166748,125.9476547241211
2020-03-18,25.933332443237305,26.99066734313965,23.367332458496094,24.08133316040039,24.08133316040039,356793000,-5.56,-3.57,-4.7,0.006,28.68000030517578,-0.16034404099868454,44.85923309326172,43.76851978302002,37.34279702401689,42.07782285795919,-4.735025833942302,24.047540958899106,-17.0031,2.9000000953674316,20.12566375732422,118.88999938964844,4.485206127166748,133.04754638671875
2020-03-19,24.979999542236328,30.133333206176758,23.8973331451416,28.50933265686035,28.50933265686035,452932500,1.31,5.48,0.85,0.006,24.08133316040039,0.18387684215678773,43.28666639328003,43.713293113708495,35.983802505992806,41.07274950972965,-5.088947003736841,32.603055204473776,-17.9565,2.430000066757202,16.639328002929688,116.06999969482422,4.028628349304199,130.55429077148438
2020-03-20,29.213333129882812,31.799999237060547,28.38599967956543,28.50200080871582,28.50200080871582,424282500,-4.15,0.35,-0.88,0.006,28.50933265686035,-0.0002571736151378117,41.70843315124512,43.62714645385742,34.832756091027115,40.14158293928418,-5.308826848257063,32.59650784875335,-18.86,2.380000114440918,17.540624618530273,118.2300033569336,4.001770496368408,133.13519287109375
2020-03-23,28.906667709350586,29.46666717529297,27.366666793823242,28.952667236328125,28.952667236328125,246817500,-2.55,2.23,-3.29,0.006,28.50200080871582,0.015811747064244427,40.37676658630371,43.564413146972655,33.92812703645804,39.31277436869484,-5.384647332236803,33.480770488310625,-21.2526,2.4000000953674316,17.96651268005371,116.45999908447266,3.8764357566833496,135.92059326171875
